"Parent";"Nom_balise";"nb_fic";"nb_tot_agg";"min";"max";"type_balise"
"ChemicalReferredTo";"SupplementalRecordUI";9;62;1;5;"multiple"
"Concept";"CASN1Name";271;19651;1;1;"simple_chemin"
"Concept";"ConceptUI";319;395884;1;37;"multiple"
"Concept";"RegistryNumber";319;347283;1;36;"multiple"
"ConceptName";"String";319;395884;1;37;"multiple"
"ConceptRelation";"Concept1UI";289;154758;2;72;"multiple"
"ConceptRelation";"Concept2UI";289;154758;2;72;"multiple"
"DateCreated";"Day";319;805203;1;151;"multiple"
"DateCreated";"Month";319;805203;1;151;"multiple"
"DateCreated";"Year";319;805203;1;151;"multiple"
"DateRevised";"Day";319;247086;1;1;"simple_date"
"DateRevised";"Month";319;247086;1;1;"simple_date"
"DateRevised";"Year";319;247086;1;1;"simple_date"
"DescriptorName";"String";319;485181;1;12;"multiple"
"DescriptorReferredTo";"DescriptorUI";319;485181;1;12;"multiple"
"PreviousIndexingList";"PreviousIndexing";287;54972;1;8;"multiple"
"QualifierName";"String";282;41840;1;5;"multiple"
"QualifierReferredTo";"QualifierUI";282;41840;1;5;"multiple"
"RelatedRegistryNumberList";"RelatedRegistryNumber";283;34997;1;43;"multiple"
"SourceList";"Source";290;251781;1;29;"multiple"
"SupplementalRecord";"Frequency";319;318499;1;1;"simple_chemin"
"SupplementalRecord";"Note";291;214949;1;1;"simple_chemin"
"SupplementalRecord";"SupplementalRecordUI";319;318505;1;1;"simple_chemin"
"SupplementalRecordName";"String";319;318567;1;6;"multiple"
"Term";"String";319;709961;1;150;"multiple"
"Term";"TermUI";319;709961;1;150;"multiple"
"ThesaurusIDlist";"ThesaurusID";319;738900;1;150;"multiple"
