"Parent";"Nom_balise";"nb_fic";"nb_tot_agg";"min";"max";"type_balise";"type_balise_old";"Nouvelle_valeur"
"ChemicalReferredTo";"SupplementalRecordUI";9;62;1;5;"multiple";NA;"OUI"
"Concept";"CASN1Name";271;19651;1;1;"simple_chemin";"simple_chemin";"NON"
"Concept";"ConceptUI";319;395884;1;37;"multiple";"multiple";"NON"
"Concept";"RegistryNumber";319;347283;1;36;"multiple";"multiple";"NON"
"ConceptName";"String";319;395884;1;37;"multiple";"multiple";"NON"
"ConceptRelation";"Concept1UI";289;154758;2;72;"multiple";"multiple";"NON"
"ConceptRelation";"Concept2UI";289;154758;2;72;"multiple";"multiple";"NON"
"DateCreated";"Day";319;805203;1;151;"multiple";"multiple";"NON"
"DateCreated";"Month";319;805203;1;151;"multiple";"multiple";"NON"
"DateCreated";"Year";319;805203;1;151;"multiple";"multiple";"NON"
"DateRevised";"Day";319;247086;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Month";319;247086;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Year";319;247086;1;1;"simple_date";"simple_date";"NON"
"DescriptorName";"String";319;485181;1;12;"multiple";"multiple";"NON"
"DescriptorReferredTo";"DescriptorUI";319;485181;1;12;"multiple";"multiple";"NON"
"PreviousIndexingList";"PreviousIndexing";287;54972;1;8;"multiple";"multiple";"NON"
"QualifierName";"String";282;41840;1;5;"multiple";"multiple";"NON"
"QualifierReferredTo";"QualifierUI";282;41840;1;5;"multiple";"multiple";"NON"
"RelatedRegistryNumberList";"RelatedRegistryNumber";283;34997;1;43;"multiple";"multiple";"NON"
"SourceList";"Source";290;251781;1;29;"multiple";"multiple";"NON"
"SupplementalRecord";"Frequency";319;318499;1;1;"simple_chemin";"simple_chemin";"NON"
"SupplementalRecord";"Note";291;214949;1;1;"simple_chemin";"simple_chemin";"NON"
"SupplementalRecord";"SupplementalRecordUI";319;318505;1;1;"simple_chemin";"simple_chemin";"NON"
"SupplementalRecordName";"String";319;318567;1;6;"multiple";"simple_chemin";"NON"
"Term";"String";319;709961;1;150;"multiple";"multiple";"NON"
"Term";"TermUI";319;709961;1;150;"multiple";"multiple";"NON"
"ThesaurusIDlist";"ThesaurusID";319;738900;1;150;"multiple";"multiple";"NON"
