"Parent";"Nom_balise";"nb_fic";"nb_tot_agg";"min";"max";"type_balise"
"AllowableQualifier";"Abbreviation";31;616335;1;40;"multiple"
"Concept";"CASN1Name";28;3103;1;1;"simple_chemin"
"Concept";"ConceptUI";31;59440;1;55;"multiple"
"Concept";"RegistryNumber";31;30939;1;55;"multiple"
"Concept";"ScopeNote";31;32327;1;9;"multiple"
"ConceptName";"String";31;59440;1;55;"multiple"
"ConceptRelation";"Concept1UI";31;58492;2;108;"multiple"
"ConceptRelation";"Concept2UI";31;58492;2;108;"multiple"
"DateCreated";"Day";31;153939;1;65;"multiple"
"DateCreated";"Month";31;153939;1;65;"multiple"
"DateCreated";"Year";31;153939;1;65;"multiple"
"DateEstablished";"Day";31;30194;1;1;"simple_date"
"DateEstablished";"Month";31;30194;1;1;"simple_date"
"DateEstablished";"Year";31;30194;1;1;"simple_date"
"DateRevised";"Day";31;28682;1;1;"simple_date"
"DateRevised";"Month";31;28682;1;1;"simple_date"
"DateRevised";"Year";31;28682;1;1;"simple_date"
"DescriptorName";"String";31;46236;1;35;"multiple"
"DescriptorRecord";"Annotation";31;12505;1;1;"simple_chemin"
"DescriptorRecord";"ConsiderAlso";14;66;1;1;"simple_chemin"
"DescriptorRecord";"DescriptorUI";31;30194;1;1;"simple_chemin"
"DescriptorRecord";"HistoryNote";31;26168;1;1;"simple_chemin"
"DescriptorRecord";"NLMClassificationNumber";31;5376;1;1;"simple_chemin"
"DescriptorRecord";"OnlineNote";21;2965;1;1;"simple_chemin"
"DescriptorRecord";"PublicMeSHNote";31;25734;1;1;"simple_chemin"
"DescriptorReferredTo";"DescriptorUI";31;16042;1;34;"multiple"
"PreviousIndexingList";"PreviousIndexing";31;26823;1;11;"multiple"
"QualifierName";"String";31;617362;1;40;"multiple"
"QualifierReferredTo";"QualifierUI";31;617362;1;40;"multiple"
"RelatedRegistryNumberList";"RelatedRegistryNumber";31;8401;1;28;"multiple"
"Term";"EntryVersion";31;16086;1;28;"multiple"
"Term";"SortVersion";30;3920;1;12;"multiple"
"Term";"String";31;255859;1;128;"multiple"
"Term";"TermUI";31;255859;1;128;"multiple"
"ThesaurusIDlist";"ThesaurusID";31;144885;1;88;"multiple"
"TreeNumberList";"TreeNumber";31;62317;1;24;"multiple"
