"Parent";"Nom_balise";"nb_fic";"nb_tot_agg";"min";"max";"type_balise";"type_balise_old";"Nouvelle_valeur"
"AllowableQualifier";"Abbreviation";2;39795;1;39;"multiple";"multiple";"NON"
"Concept";"CASN1Name";2;166;1;1;"simple_chemin";"simple_chemin";"NON"
"Concept";"ConceptUI";2;3755;1;19;"multiple";"multiple";"NON"
"Concept";"RegistryNumber";2;1815;1;19;"multiple";"multiple";"NON"
"Concept";"ScopeNote";2;2121;1;6;"multiple";"multiple";"NON"
"ConceptName";"String";2;3755;1;19;"multiple";"multiple";"NON"
"ConceptRelation";"Concept1UI";2;3510;2;36;"multiple";"multiple";"NON"
"ConceptRelation";"Concept2UI";2;3510;2;36;"multiple";"multiple";"NON"
"DateCreated";"Day";2;9964;2;26;"multiple";"multiple";"NON"
"DateCreated";"Month";2;9964;2;26;"multiple";"multiple";"NON"
"DateCreated";"Year";2;9964;2;26;"multiple";"multiple";"NON"
"DateEstablished";"Day";2;2000;1;1;"simple_date";"simple_date";"NON"
"DateEstablished";"Month";2;2000;1;1;"simple_date";"simple_date";"NON"
"DateEstablished";"Year";2;2000;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Day";2;2000;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Month";2;2000;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Year";2;2000;1;1;"simple_date";"simple_date";"NON"
"DescriptorName";"String";2;3125;1;13;"multiple";"multiple";"NON"
"DescriptorRecord";"Annotation";2;666;1;1;"simple_chemin";"simple_chemin";"NON"
"DescriptorRecord";"ConsiderAlso";1;2;1;1;"simple_chemin";"simple_chemin";"NON"
"DescriptorRecord";"DescriptorUI";2;2000;1;1;"simple_chemin";"simple_chemin";"NON"
"DescriptorRecord";"HistoryNote";2;1707;1;1;"simple_chemin";"simple_chemin";"NON"
"DescriptorRecord";"NLMClassificationNumber";2;359;1;1;"simple_chemin";"simple_chemin";"NON"
"DescriptorRecord";"OnlineNote";2;191;1;1;"simple_chemin";"simple_chemin";"NON"
"DescriptorRecord";"PublicMeSHNote";2;1694;1;1;"simple_chemin";"simple_chemin";"NON"
"DescriptorReferredTo";"DescriptorUI";2;1125;1;12;"multiple";"multiple";"NON"
"PreviousIndexingList";"PreviousIndexing";2;1601;1;7;"multiple";"multiple";"NON"
"QualifierName";"String";2;39841;1;39;"multiple";"multiple";"NON"
"QualifierReferredTo";"QualifierUI";2;39841;1;39;"multiple";"multiple";"NON"
"RelatedRegistryNumberList";"RelatedRegistryNumber";2;467;1;13;"multiple";"multiple";"NON"
"Term";"EntryVersion";2;921;1;16;"multiple";"multiple";"NON"
"Term";"SortVersion";2;81;1;4;"multiple";"multiple";"NON"
"Term";"String";2;16488;1;74;"multiple";"multiple";"NON"
"Term";"TermUI";2;16488;1;74;"multiple";"multiple";"NON"
"ThesaurusIDlist";"ThesaurusID";2;9181;1;35;"multiple";"multiple";"NON"
"TreeNumberList";"TreeNumber";2;4210;1;13;"multiple";"multiple";"NON"
