"Parent";"Nom_balise";"nb_fic";"nb_tot_agg";"min";"max";"type_balise";"type_balise_old";"Nouvelle_valeur"
"Abstract";"AbstractText";113;444622;1;19;"multiple";"multiple";"NON"
"Abstract";"CopyrightInformation";113;52932;1;1;"simple_chemin";"simple_chemin";"NON"
"AbstractText";"b";74;9442;1;15;"multiple_erronnee";"multiple_erronnee";"NON"
"AbstractText";"i";86;32440;1;48;"multiple_erronnee";"multiple_erronnee";"NON"
"AbstractText";"sub";78;19894;1;47;"multiple_erronnee";"multiple_erronnee";"NON"
"AbstractText";"sup";82;18842;1;32;"multiple_erronnee";"multiple_erronnee";"NON"
"AbstractText";"u";25;121;1;8;"multiple_erronnee";"multiple_erronnee";"NON"
"AccessionNumberList";"AccessionNumber";113;130179;1;698;"multiple";"multiple";"NON"
"AffiliationInfo";"Affiliation";113;1054018;1;550;"multiple";"multiple";"NON"
"AffiliationInfo";"Identifier";63;10808;1;73;"multiple";NA;"OUI"
"Article";"ArticleTitle";113;110714;1;1;"simple_chemin";"simple_chemin";"NON"
"Article";"ELocationID";112;130814;1;2;"multiple";"multiple";"NON"
"Article";"Language";113;112238;1;3;"multiple";"simple_chemin";"NON"
"Article";"VernacularTitle";91;232;1;1;"simple_chemin";"simple_chemin";"NON"
"ArticleDate";"Day";113;86956;1;1;"simple_date";"simple_date";"NON"
"ArticleDate";"Month";113;86956;1;1;"simple_date";"simple_date";"NON"
"ArticleDate";"Year";113;86956;1;1;"simple_date";"simple_date";"NON"
"ArticleIdList";"ArticleId";113;2599698;1;726;"multiple";"multiple";"NON"
"ArticleTitle";"b";11;32;1;6;"multiple_erronnee";NA;"OUI"
"ArticleTitle";"i";73;725;1;8;"multiple_erronnee";"multiple_erronnee";"NON"
"ArticleTitle";"sub";65;314;1;5;"multiple_erronnee";NA;"OUI"
"ArticleTitle";"sup";66;612;1;3;"multiple_erronnee";"simple_erronnee";"NON"
"ArticleTitle";"u";5;27;5;6;"multiple_erronnee";NA;"OUI"
"Author";"CollectiveName";113;14890;1;48;"multiple";"simple_chemin";"NON"
"Author";"ForeName";113;1197080;1;1064;"multiple";"multiple";"NON"
"Author";"Identifier";91;66011;1;82;"multiple";"multiple";"NON"
"Author";"Initials";113;1196933;1;1061;"multiple";"multiple";"NON"
"Author";"LastName";113;1197173;1;1064;"multiple";"multiple";"NON"
"Author";"Suffix";113;3194;1;11;"multiple";"simple_chemin";"NON"
"b";"b";2;2;1;1;"simple_erronnee";NA;"OUI"
"b";"i";52;1498;1;9;"multiple_erronnee";"multiple_erronnee";"NON"
"b";"sub";1;1;1;1;"simple_erronnee";NA;"OUI"
"b";"sup";2;3;1;2;"multiple_erronnee";NA;"OUI"
"b";"u";1;11;11;11;"multiple_erronnee";NA;"OUI"
"Chemical";"NameOfSubstance";113;263890;1;41;"multiple";"multiple";"NON"
"Chemical";"RegistryNumber";113;263890;1;41;"multiple";"multiple";"NON"
"Citation";"sub";28;100;1;10;"multiple_erronnee";NA;"OUI"
"Citation";"sup";38;482;1;16;"multiple_erronnee";"simple_erronnee";"NON"
"CoiStatement";"b";17;5652;2;119;"multiple_erronnee";"multiple_erronnee";"NON"
"CoiStatement";"i";3;4;1;2;"multiple_erronnee";NA;"OUI"
"CommentsCorrections";"Note";59;220;1;2;"multiple";NA;"OUI"
"CommentsCorrections";"PMID";113;41538;1;26;"multiple";"simple_chemin";"NON"
"CommentsCorrections";"RefSource";113;42697;1;26;"multiple";"simple_chemin";"NON"
"DataBank";"DataBankName";113;113932;1;5;"multiple";"simple_chemin";"NON"
"DateCompleted";"Day";113;101672;1;1;"simple_date";"simple_date";"NON"
"DateCompleted";"Month";113;101672;1;1;"simple_date";"simple_date";"NON"
"DateCompleted";"Year";113;101672;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Day";113;112097;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Month";113;112097;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Year";113;112097;1;1;"simple_date";"simple_date";"NON"
"Grant";"Acronym";113;131341;1;260;"multiple";"multiple";"NON"
"Grant";"Agency";113;149593;1;275;"multiple";"multiple";"NON"
"Grant";"Country";113;149593;1;275;"multiple";"multiple";"NON"
"Grant";"GrantID";113;145127;1;275;"multiple";"multiple";"NON"
"i";"b";4;10;1;5;"multiple_erronnee";NA;"OUI"
"i";"i";1;1;1;1;"simple_erronnee";NA;"OUI"
"i";"sub";21;61;1;9;"multiple_erronnee";NA;"OUI"
"i";"sup";13;44;1;10;"multiple_erronnee";NA;"OUI"
"i";"u";5;14;1;5;"multiple_erronnee";NA;"OUI"
"Investigator";"ForeName";113;908631;1;7194;"multiple";"multiple";"NON"
"Investigator";"Identifier";5;32;1;19;"multiple";NA;"OUI"
"Investigator";"Initials";113;908059;1;7194;"multiple";"multiple";"NON"
"Investigator";"LastName";113;914033;1;7194;"multiple";"multiple";"NON"
"Investigator";"Suffix";111;2126;1;26;"multiple";NA;"OUI"
"Journal";"ISOAbbreviation";113;112097;1;1;"simple_chemin";"simple_chemin";"NON"
"Journal";"ISSN";113;112057;1;1;"simple_chemin";"simple_chemin";"NON"
"Journal";"Title";113;112097;1;1;"simple_chemin";"simple_chemin";"NON"
"JournalIssue";"Issue";113;95798;1;1;"simple_chemin";"simple_chemin";"NON"
"JournalIssue";"Volume";113;110242;1;1;"simple_chemin";"simple_chemin";"NON"
"KeywordList";"Keyword";111;299753;1;94;"multiple";"multiple";"NON"
"math";"mi";3;6;1;4;"multiple_erronnee";NA;"OUI"
"math";"mn";1;8;8;8;"multiple_erronnee";NA;"OUI"
"math";"mo";1;8;8;8;"multiple_erronnee";NA;"OUI"
"MedlineCitation";"CitationSubset";113;102244;1;1;"simple_chemin";"simple_chemin";"NON"
"MedlineCitation";"CoiStatement";92;11394;1;1;"simple_chemin";"simple_chemin";"NON"
"MedlineCitation";"GeneralNote";18;75;1;1;"simple_non_significative";NA;"OUI"
"MedlineCitation";"NumberOfReferences";10;43;1;1;"simple_non_significative";NA;"OUI"
"MedlineCitation";"OtherID";41;100;1;1;"simple_non_significative";NA;"OUI"
"MedlineCitation";"PMID";113;112097;1;1;"simple_chemin";"simple_chemin";"NON"
"MedlineJournalInfo";"Country";113;112097;1;1;"simple_chemin";"simple_chemin";"NON"
"MedlineJournalInfo";"ISSNLinking";113;111126;1;1;"simple_chemin";"simple_chemin";"NON"
"MedlineJournalInfo";"MedlineTA";113;112097;1;1;"simple_chemin";"simple_chemin";"NON"
"MedlineJournalInfo";"NlmUniqueID";113;112097;1;1;"simple_chemin";"simple_chemin";"NON"
"MeshHeading";"DescriptorName";113;1537383;1;48;"multiple";"multiple";"NON"
"MeshHeading";"QualifierName";113;808421;1;50;"multiple";"multiple";"NON"
"mover";"mi";4;14;1;5;"multiple_erronnee";NA;"OUI"
"mover";"mo";5;18;1;5;"multiple_erronnee";NA;"OUI"
"mover";"mtext";1;4;4;4;"multiple_erronnee";NA;"OUI"
"mrow";"mi";6;16;1;4;"multiple_erronnee";NA;"OUI"
"mrow";"mn";8;26;1;5;"multiple_erronnee";NA;"OUI"
"mrow";"mo";4;14;1;6;"multiple_erronnee";NA;"OUI"
"mrow";"mspace";2;3;1;2;"multiple_erronnee";NA;"OUI"
"mrow";"mtext";6;17;1;5;"multiple_erronnee";NA;"OUI"
"msub";"mi";3;9;1;4;"multiple_erronnee";NA;"OUI"
"msub";"mn";2;4;1;3;"multiple_erronnee";NA;"OUI"
"msub";"mtext";1;4;4;4;"multiple_erronnee";NA;"OUI"
"OtherAbstract";"AbstractText";72;812;1;10;"multiple";"multiple";"NON"
"Pagination";"MedlinePgn";113;107854;1;1;"simple_chemin";"simple_chemin";"NON"
"PubDate";"Day";113;46052;1;1;"simple_PubDate";"simple_PubDate";"NON"
"PubDate";"MedlineDate";113;2004;1;1;"simple_PubDate";"simple_PubDate";"NON"
"PubDate";"Month";113;101952;1;1;"simple_PubDate";"simple_PubDate";"NON"
"PubDate";"Season";33;45;1;1;"simple_non_significative";NA;"OUI"
"PubDate";"Year";113;110093;1;1;"simple_PubDate";"simple_PubDate";"NON"
"PublicationTypeList";"PublicationType";113;337739;1;9;"multiple";"multiple";"NON"
"PubmedData";"PublicationStatus";113;112097;1;1;"simple_chemin";"simple_chemin";"NON"
"PubmedData";"ReferenceList";8;13;1;1;"simple_non_significative";NA;"OUI"
"PubMedPubDate";"Day";113;506975;3;10;"multiple";"multiple";"NON"
"PubMedPubDate";"Hour";113;336291;3;3;"multiple";"multiple";"NON"
"PubMedPubDate";"Minute";113;336291;3;3;"multiple";"multiple";"NON"
"PubMedPubDate";"Month";113;506975;3;10;"multiple";"multiple";"NON"
"PubMedPubDate";"Year";113;506975;3;10;"multiple";"multiple";"NON"
"Reference";"Citation";113;2289799;1;723;"multiple";"multiple";"NON"
"ReferenceList";"Title";60;2344;1;401;"multiple";"simple_chemin";"NON"
"sub";"b";1;2;2;2;"multiple_erronnee";NA;"OUI"
"sub";"i";7;23;1;9;"multiple_erronnee";NA;"OUI"
"sub";"sub";13;81;1;16;"multiple_erronnee";NA;"OUI"
"sub";"sup";1;2;2;2;"multiple_erronnee";NA;"OUI"
"sup";"i";2;12;1;5;"multiple_erronnee";NA;"OUI"
"SupplMeshList";"SupplMeshName";112;1313;1;6;"multiple";"simple_chemin";"NON"
"VernacularTitle";"sup";3;6;1;3;"multiple_erronnee";NA;"OUI"
