"Parent";"Nom_balise";"nb_fic";"nb_tot_agg";"min";"max";"type_balise";"type_balise_old";"Nouvelle_valeur"
"Abstract";"AbstractText";125;445416;1;19;"multiple";"multiple";"NON"
"Abstract";"CopyrightInformation";123;53098;1;1;"simple_chemin";"simple_chemin";"NON"
"AbstractText";"b";76;9464;1;15;"multiple_erronnee";"multiple_erronnee";"NON"
"AbstractText";"i";90;32627;1;48;"multiple_erronnee";"multiple_erronnee";"NON"
"AbstractText";"sub";81;19952;1;47;"multiple_erronnee";"multiple_erronnee";"NON"
"AbstractText";"sup";84;18892;1;32;"multiple_erronnee";"multiple_erronnee";"NON"
"AbstractText";"u";25;121;1;8;"multiple_erronnee";"multiple_erronnee";"NON"
"AccessionNumberList";"AccessionNumber";126;130404;1;698;"multiple";"multiple";"NON"
"AffiliationInfo";"Affiliation";126;1057015;1;550;"multiple";"multiple";"NON"
"AffiliationInfo";"Identifier";64;10826;1;73;"multiple";"multiple";"NON"
"Article";"ArticleTitle";126;110915;1;1;"simple_chemin";"simple_chemin";"NON"
"Article";"ELocationID";125;131086;1;2;"multiple";"multiple";"NON"
"Article";"Language";126;112443;1;3;"multiple";"multiple";"NON"
"Article";"VernacularTitle";91;232;1;1;"simple_chemin";"simple_chemin";"NON"
"ArticleDate";"Day";124;87125;1;1;"simple_date";"simple_date";"NON"
"ArticleDate";"Month";124;87125;1;1;"simple_date";"simple_date";"NON"
"ArticleDate";"Year";124;87125;1;1;"simple_date";"simple_date";"NON"
"ArticleIdList";"ArticleId";126;2603139;1;726;"multiple";"multiple";"NON"
"ArticleTitle";"b";11;32;1;6;"multiple_erronnee";"multiple_erronnee";"NON"
"ArticleTitle";"i";72;728;1;8;"multiple_erronnee";"multiple_erronnee";"NON"
"ArticleTitle";"sub";67;316;1;5;"multiple_erronnee";"multiple_erronnee";"NON"
"ArticleTitle";"sup";67;613;1;3;"multiple_erronnee";"multiple_erronnee";"NON"
"ArticleTitle";"u";5;27;5;6;"multiple_erronnee";"multiple_erronnee";"NON"
"Author";"CollectiveName";115;14908;1;48;"multiple";"multiple";"NON"
"Author";"ForeName";126;1199575;1;1064;"multiple";"multiple";"NON"
"Author";"Identifier";101;66392;1;82;"multiple";"multiple";"NON"
"Author";"Initials";126;1199428;1;1061;"multiple";"multiple";"NON"
"Author";"LastName";126;1199668;1;1064;"multiple";"multiple";"NON"
"Author";"Suffix";114;3202;1;11;"multiple";"multiple";"NON"
"b";"b";2;2;1;1;"simple_erronnee";"simple_erronnee";"NON"
"b";"i";53;1505;1;9;"multiple_erronnee";"multiple_erronnee";"NON"
"b";"sub";1;1;1;1;"simple_erronnee";"simple_erronnee";"NON"
"b";"sup";2;3;1;2;"multiple_erronnee";"multiple_erronnee";"NON"
"b";"u";1;11;11;11;"multiple_erronnee";"multiple_erronnee";"NON"
"Chemical";"NameOfSubstance";113;264115;1;41;"multiple";"multiple";"NON"
"Chemical";"RegistryNumber";113;264115;1;41;"multiple";"multiple";"NON"
"Citation";"sub";29;100;1;10;"multiple_erronnee";"multiple_erronnee";"NON"
"Citation";"sup";38;482;1;16;"multiple_erronnee";"multiple_erronnee";"NON"
"CoiStatement";"b";18;5672;2;119;"multiple_erronnee";"multiple_erronnee";"NON"
"CoiStatement";"i";3;4;1;2;"multiple_erronnee";"multiple_erronnee";"NON"
"CommentsCorrections";"Note";58;220;1;2;"multiple";"multiple";"NON"
"CommentsCorrections";"PMID";113;41563;1;26;"multiple";"multiple";"NON"
"CommentsCorrections";"RefSource";113;42722;1;26;"multiple";"multiple";"NON"
"DataBank";"DataBankName";126;114139;1;5;"multiple";"multiple";"NON"
"DateCompleted";"Day";113;101793;1;1;"simple_date";"simple_date";"NON"
"DateCompleted";"Month";113;101793;1;1;"simple_date";"simple_date";"NON"
"DateCompleted";"Year";113;101793;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Day";126;112302;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Month";126;112302;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Year";126;112302;1;1;"simple_date";"simple_date";"NON"
"Grant";"Acronym";120;133495;1;260;"multiple";"multiple";"NON"
"Grant";"Agency";120;149791;1;275;"multiple";"multiple";"NON"
"Grant";"Country";120;149791;1;275;"multiple";"multiple";"NON"
"Grant";"GrantID";120;145311;1;275;"multiple";"multiple";"NON"
"i";"b";4;10;1;5;"multiple_erronnee";"multiple_erronnee";"NON"
"i";"i";1;1;1;1;"simple_erronnee";"simple_erronnee";"NON"
"i";"sub";20;61;1;9;"multiple_erronnee";"multiple_erronnee";"NON"
"i";"sup";14;44;1;10;"multiple_erronnee";"multiple_erronnee";"NON"
"i";"u";5;14;1;5;"multiple_erronnee";"multiple_erronnee";"NON"
"Investigator";"ForeName";114;909303;1;7194;"multiple";"multiple";"NON"
"Investigator";"Identifier";6;53;1;21;"multiple";"multiple";"NON"
"Investigator";"Initials";114;908731;1;7194;"multiple";"multiple";"NON"
