"Parent";"Nom_balise";"nb_fic";"nb_tot_agg";"min";"max";"type_balise"
"Concept";"ConceptUI";1;231;1;14;"multiple"
"Concept";"ScopeNote";1;81;1;4;"multiple"
"ConceptName";"String";1;231;1;14;"multiple"
"ConceptRelation";"Concept1UI";1;310;2;26;"multiple"
"ConceptRelation";"Concept2UI";1;310;2;26;"multiple"
"DateCreated";"Day";1;90;1;3;"multiple"
"DateCreated";"Month";1;90;1;3;"multiple"
"DateCreated";"Year";1;90;1;3;"multiple"
"DateEstablished";"Day";1;76;1;1;"simple_date"
"DateEstablished";"Month";1;76;1;1;"simple_date"
"DateEstablished";"Year";1;76;1;1;"simple_date"
"DateRevised";"Day";1;76;1;1;"simple_date"
"DateRevised";"Month";1;76;1;1;"simple_date"
"DateRevised";"Year";1;76;1;1;"simple_date"
"QualifierName";"String";1;76;1;1;"simple_chemin"
"QualifierRecord";"Annotation";1;76;1;1;"simple_chemin"
"QualifierRecord";"HistoryNote";1;76;1;1;"simple_chemin"
"QualifierRecord";"OnlineNote";1;74;1;1;"simple_chemin"
"QualifierRecord";"QualifierUI";1;76;1;1;"simple_chemin"
"Term";"Abbreviation";1;78;1;2;"multiple"
"Term";"EntryVersion";1;78;1;2;"multiple"
"Term";"SortVersion";1;7;1;1;"simple_chemin"
"Term";"String";1;303;1;16;"multiple"
"Term";"TermUI";1;303;1;16;"multiple"
"TreeNumberList";"TreeNumber";1;89;1;2;"multiple"
