"Parent";"Nom_balise";"nb_fic";"nb_tot_agg";"min";"max";"type_balise";"type_balise_old";"Nouvelle_valeur"
"Concept";"ConceptUI";1;231;1;14;"multiple";"multiple";"NON"
"Concept";"ScopeNote";1;81;1;4;"multiple";"multiple";"NON"
"ConceptName";"String";1;231;1;14;"multiple";"multiple";"NON"
"ConceptRelation";"Concept1UI";1;310;2;26;"multiple";"multiple";"NON"
"ConceptRelation";"Concept2UI";1;310;2;26;"multiple";"multiple";"NON"
"DateCreated";"Day";1;90;1;3;"multiple";"multiple";"NON"
"DateCreated";"Month";1;90;1;3;"multiple";"multiple";"NON"
"DateCreated";"Year";1;90;1;3;"multiple";"multiple";"NON"
"DateEstablished";"Day";1;76;1;1;"simple_date";"simple_date";"NON"
"DateEstablished";"Month";1;76;1;1;"simple_date";"simple_date";"NON"
"DateEstablished";"Year";1;76;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Day";1;76;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Month";1;76;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Year";1;76;1;1;"simple_date";"simple_date";"NON"
"QualifierName";"String";1;76;1;1;"simple_chemin";"simple_chemin";"NON"
"QualifierRecord";"Annotation";1;76;1;1;"simple_chemin";"simple_chemin";"NON"
"QualifierRecord";"HistoryNote";1;76;1;1;"simple_chemin";"simple_chemin";"NON"
"QualifierRecord";"OnlineNote";1;74;1;1;"simple_chemin";"simple_chemin";"NON"
"QualifierRecord";"QualifierUI";1;76;1;1;"simple_chemin";"simple_chemin";"NON"
"Term";"Abbreviation";1;78;1;2;"multiple";"multiple";"NON"
"Term";"EntryVersion";1;78;1;2;"multiple";"multiple";"NON"
"Term";"SortVersion";1;7;1;1;"simple_chemin";"simple_chemin";"NON"
"Term";"String";1;303;1;16;"multiple";"multiple";"NON"
"Term";"TermUI";1;303;1;16;"multiple";"multiple";"NON"
"TreeNumberList";"TreeNumber";1;89;1;2;"multiple";"multiple";"NON"
