"recherche_id";"fetch_id";"test_NCT";"date_check_nct";"lot"
"35114739";TRUE;TRUE;"2022-02-04 22:54:47";"LOT_20220204225447"
"35114404";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35114169";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35114141";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35114022";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35113957";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35113934";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35113860";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35113830";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35113812";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35113809";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35113805";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35113363";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35113322";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35113285";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35113137";TRUE;TRUE;"2022-02-04 22:54:48";"LOT_20220204225447"
"35113028";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
"35113020";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
"35112886";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
"35112882";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
"35112592";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
"35112307";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
"35112306";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
"35112303";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
"35112299";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
"35112166";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
"35112104";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
"35111828";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
"35111295";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
"35110690";TRUE;TRUE;"2022-02-04 22:54:49";"LOT_20220204225447"
